chl,dox,spm,sal,temp
11.6,8.1,27,14.68,16.3
11.1,8.1,28,14.88,16.33
11.1,8.1,31,14.92,16.34
11.6,8.1,34,14.92,16.34
11.6,8.1,36,14.94,16.35
11.6,8,41,15.04,16.39
7.2,7.7,6,17.17,16.25
7.2,7.7,6,17.17,16.21
6.8,7.7,6,17.19,16.18
5.9,7.6,8,17.21,16.2
5,7.6,9,17.29,16.22
4.6,7.5,9,17.34,16.22
4.6,7.6,9,17.39,16.22
4.2,7.6,10,17.4,16.22
4.2,7.6,10,17.42,16.22
4.2,7.6,10,17.43,16.21
4.2,7.6,10,17.43,16.21
4.2,7.6,11,17.43,16.21
16.8,10.1,3,16.65,15.94
15.1,9.7,2,16.71,15.9
11.6,9.3,2,16.78,15.88
8.1,9.1,2,17.1,15.88
6.3,8.6,2,17.42,16.16
5.9,8.2,4,17.8,16.17
5.5,8,6,17.95,16.06
5.5,7.7,8,18,16.03
5.9,7.4,10,18.28,15.85
6.3,7.1,19,18.87,15.59
6.8,7.1,31,19.16,15.49
6.8,7.3,33,19.18,15.49
10.3,9.3,2,15.78,15.97
10.3,9.2,2,15.83,15.99
10.7,9.3,2,15.92,16
11.1,8.8,2,16.66,16.12
10.3,8.3,2,17,16.05
8.5,7.7,3,17.89,15.77
7.2,6.8,3,18.71,15.51
6.3,6,5,20.33,14.74
5.9,6.4,5,23.64,13.52
5.9,6.9,9,24.02,13.42
9,9.4,2,14.66,15.34
8.5,9.3,2,14.76,15.33
7.7,9.4,2,14.93,15.33
6.8,9,2,15.39,15.55
5.9,8.6,2,15.92,15.65
5,8.4,2,16.14,15.63
4.6,7.9,2,16.53,15.64
4.6,7.5,2,17.18,15.27
4.6,7.3,2,18.8,14.74
5,7,2,19.75,14.48
5,6.5,2,20.73,14.12
5,6.4,2,22.72,13.35
5.5,6.1,2,23.88,12.92
5.5,6.1,3,25.31,12.38
5.9,6.1,4,25.99,12.18
5.9,6.1,4,26.22,12.11
5.9,6.1,6,26.64,12.01
5.9,6.2,9,26.92,11.92
3.1,7.3,10,17.58,15.23
3.1,7.4,10,17.64,14.96
3,7.3,11,17.69,14.75
3,7.3,13,17.74,14.63
3,7.4,14,17.81,14.49
3.1,7.4,18,17.84,14.46
3.1,7.4,20,17.9,14.39
3.1,7.5,21,17.95,14.33
3.2,7.5,24,18.03,14.27
3.2,7.5,26,18.2,14.28
3.1,7.4,25,18.32,14.31
3.1,7.3,20,18.47,14.34
3,6.9,16,18.62,14.35
2.8,6.7,13,19.46,13.97
2.8,7.1,13,20.92,13.42
1.3,7.9,19,17.34,15.55
1.3,7.8,20,17.34,15.51
1.3,7.7,20,17.37,15.37
1.1,7.7,20,17.41,15.24
1.4,7.7,21,17.46,15.17
1.9,7.8,37,17.48,15.14
2.2,7.7,67,17.49,15.13
2.5,7.7,94,17.49,15.13
2.5,7.8,108,17.49,15.13
1.5,7.4,30,16.69,16.4
1.5,7.4,30,16.69,16.34
1.5,7.4,37,16.69,16.35
1.5,7.4,39,16.69,16.34
1.5,7.4,42,16.69,16.32
1.6,7.3,69,16.7,16.26
1.8,7.4,68,16.7,16.25
1.6,7.4,72,16.7,16.25
1.5,7.4,78,16.7,16.24
1.6,7.5,89,16.7,16.23
2,7.4,92,16.7,16.23
2,7.5,89,16.7,16.24
1.3,7.3,31,16.25,16.45
1.3,7.3,31,16.25,16.44
1.4,7.2,34,16.27,16.41
1.6,7.2,39,16.29,16.37
1.8,7.2,51,16.31,16.32
1.8,7.2,64,16.32,16.3
1.6,7.3,72,16.31,16.31
1.6,7.3,70,16.31,16.32
1.8,7.2,76,16.31,16.31
1.9,7.3,79,16.32,16.3
2.7,7.3,86,16.32,16.29
10.9,7.3,90,16.32,16.29
13.1,7.1,114,16.3,16.29
1.1,7.3,22,15.6,16.73
1.1,7.3,19,15.58,16.76
1.1,7.2,18,15.59,16.75
1.1,7.1,18,15.68,16.6
1.5,7.1,27,15.75,16.48
1.6,7.1,44,15.8,16.39
1.6,7.1,75,15.81,16.39
1.9,7.2,90,15.82,16.38
2.1,7.1,119,15.83,16.38
2.1,7.1,129,15.83,16.38
2.1,7.2,141,15.83,16.37
2.1,7.1,162,15.83,16.37
3,6.7,144,14.23,16.58
3,6.6,145,14.23,16.56
3,6.6,154,14.26,16.53
3.1,6.7,177,14.27,16.52
3.2,6.6,188,14.28,16.51
3.6,6.6,222,14.28,16.49
3.6,6.7,263,14.29,16.48
9.3,6,600,11.59,19.28
9.2,6.3,706,12.22,18.74
9.1,6.4,713,12.43,18.64
8.9,6.5,713,12.72,18.55
8.8,6.6,713,12.93,18.55
7,6.6,713,13.01,18.52
6.3,6.7,713,12.95,18.53
3.4,7.3,69,16.42,19.53
3.4,7.3,68,16.47,19.55
3.4,7.2,73,16.63,19.52
3.5,7.2,78,16.69,19.32
3.8,7.1,80,16.64,19.18
4.1,7.1,89,16.56,19.08
4.4,7.1,111,16.55,19.05
4.6,7,151,16.53,19.01
4.7,7,198,16.56,18.91
4.7,7.1,234,16.71,18.73
4.7,7.1,250,16.86,18.6
2.8,7.5,35,17.31,18.97
2.9,7.5,35,17.26,19.03
2.8,7.4,34,17.28,19
2.7,7.5,35,17.44,18.79
2.7,7.5,34,17.47,18.76
2.7,7.5,34,17.49,18.75
2.7,7.5,35,17.48,18.75
2.7,7.5,36,17.52,18.72
2.7,7.5,35,17.56,18.68
2.7,7.5,34,17.59,18.64
1.7,7.7,32,18.68,17.98
1.6,7.8,28,18.68,17.98
1.7,7.8,27,18.68,17.99
1.7,7.8,27,18.67,17.99
1.7,7.8,26,18.67,17.98
1.7,7.8,26,18.67,17.98
1.7,7.8,28,18.68,17.96
1.7,7.8,29,18.76,17.87
1.7,7.7,29,18.81,17.81
1.6,7.8,28,18.92,17.69
1.6,7.8,31,19.08,17.56
2.2,8.1,5,21.57,16.53
2.2,8.1,4,21.57,16.54
2.2,8.1,5,21.57,16.54
2.2,8,4,21.59,16.5
1.9,7.9,5,21.85,16.24
1.8,8,14,22.14,16.05
1.7,8,19,22.17,16.04
1.8,8,21,22.16,16.04
1.9,8,21,22.18,16.03
1.9,8,27,22.18,16.02
1.7,7.1,30,22.98,15.13
1.7,7.1,22,23.92,14.95
1.8,7.1,23,24.05,14.9
1.9,7.2,25,24.15,14.86
1.8,7.2,26,24.16,14.85
1.8,7.2,26,24.16,14.85
1.8,7.2,26,24.17,14.85
1.8,7.2,26,24.19,14.84
1.8,7.2,26,24.2,14.84
1.8,7.2,26,24.2,14.84
1.8,7.2,27,24.21,14.84
1.8,7.2,27,24.21,14.84
1.8,7.2,27,24.21,14.84
1.8,7.2,28,24.2,14.85
1.8,7.2,27,24.21,14.85
1.8,7.2,28,24.22,14.85
1.8,7.2,28,24.22,14.86
1.9,4.1,27,19.48,22.41
1.9,4.1,28,19.73,22.56
1.9,4.3,29,19.98,22.57
1.9,4.3,30,20.13,22.55
1.9,4.4,30,20.14,22.54
1.9,4.5,33,20.15,22.54
1.9,4.4,34,20.16,22.54
1.9,4.3,37,20.17,22.56
1.9,4.3,40,20.18,22.57
1.2,5.8,14,21.16,22.03
1.2,5.8,14,21.17,22.06
1.2,5.8,13,21.22,22.1
1.1,5.7,14,21.3,22.1
1.2,5.7,14,21.4,22.1
1.2,5.7,13,21.5,22.08
1.2,5.7,13,21.57,22.05
1.2,5.5,12,21.68,22.02
1.2,5.7,12,21.72,22
1.2,5.6,12,21.73,22
1.2,5.7,13,21.73,22
1.2,5.5,13,21.74,22
1.2,5.5,13,21.75,22
1.1,6,5,22.32,21.64
1.1,6.3,5,22.31,21.64
1.1,6.1,5,22.32,21.64
1.1,6.1,5,22.32,21.64
1.1,6.2,4,22.33,21.65
1.1,6.1,5,22.34,21.65
1.1,6.2,5,22.35,21.66
1.1,6.2,5,22.37,21.66
1.1,6.1,5,22.43,21.67
1.1,6.1,4,22.47,21.66
1.1,6.2,4,22.48,21.64
1.1,6.1,4,22.48,21.64
1.1,6,4,22.49,21.64
1.1,5.9,4,22.49,21.64
1.3,7.2,2,22.93,21.2
1.2,7.1,2,23.01,21.21
1.2,6.6,2,23.08,21.28
1.2,6.4,2,23.58,21.21
1.2,6.4,2,23.73,21.07
1.2,6.4,2,23.79,21.01
1.2,6.5,3,23.87,20.93
1.2,6.6,3,23.92,20.88
1.2,6.6,3,23.98,20.82
1.2,6.5,2,24,20.78
1.2,6.6,2,24.03,20.76
1.3,7,2,24.55,19.87
1.2,7,2,24.88,19.62
1.2,7,2,25.18,19.35
1.1,7.1,2,25.33,19.19
1,7.3,2,25.42,19.08
1,7.3,2,25.43,19.06
1.1,7.4,2,25.44,19.05
1.2,7.3,3,25.46,19.03
1.2,7.3,3,25.46,19.02
1.2,7.3,5,25.46,19.03
1.5,6.7,2,25.25,19.4
1.3,6.8,2,25.42,19.17
1.3,6.8,2,25.6,19.01
1.2,6.8,2,25.65,18.94
1.1,6.4,2,25.66,18.88
1.1,6,2,25.68,18.63
1.1,7.1,2,25.67,17.94
1.1,7.5,2,25.77,17.82
1.1,7.6,2,25.89,17.87
1.1,7.2,3,26.03,17.91
1.1,7.3,3,26.19,17.85
1.1,7.3,4,26.23,17.82
1.1,7.3,5,26.28,17.78
1.1,7.3,6,26.34,17.73
1.1,7.3,6,26.38,17.68
1.1,7.5,7,26.45,17.62
1.7,6.4,18,22.32,22.85
1.7,6.4,18,22.32,22.88
1.7,6.4,18,22.36,22.89
1.7,6.4,19,22.36,22.89
1.7,6.4,20,22.37,22.88
1.7,6.4,20,22.41,22.9
1.7,6.4,20,22.46,22.9
1.7,6.4,20,22.48,22.91
1.9,6.4,12,23.19,22.45
1.9,6.5,12,23.22,22.46
1.8,6.5,12,23.27,22.45
1.8,6.5,11,23.29,22.46
1.7,6.5,11,23.34,22.48
1.6,6.4,11,23.37,22.49
1.5,6.5,11,23.41,22.5
1.4,6.4,12,23.45,22.51
1.4,6.4,12,23.46,22.51
1.4,6.4,12,23.46,22.51
1.4,6.4,12,23.47,22.52
1.5,6.4,12,23.5,22.53
1.5,6.4,13,23.5,22.53
1.4,6.5,10,23.94,21.87
1.3,6.6,10,23.94,21.86
1.3,6.6,10,23.93,21.87
1.4,6.5,10,23.95,21.9
1.4,6.5,10,24.05,21.95
1.4,6.5,10,24.1,21.91
1.4,6.5,11,24.14,21.85
1.4,6.5,11,24.18,21.86
1.3,6.5,10,24.19,21.86
1.3,6.5,11,24.2,21.86
1.3,6.5,10,24.2,21.86
1.3,6.5,10,24.2,21.86
1.2,6.7,8,24.94,21.28
1.2,6.7,8,24.94,21.31
1.2,6.7,8,24.97,21.33
1.2,6.6,8,25.09,21.31
1.2,6.6,8,25.28,21.19
1.3,6.5,8,25.44,21.06
1.3,6.5,8,25.53,20.98
1.3,6.5,8,25.65,20.88
1.3,6.5,8,25.74,20.82
1.3,6.5,8,25.8,20.77
1.3,6.4,8,25.9,20.67
1.3,6.5,8,25.99,20.58
1.3,6.4,8,26.63,19.74
1.3,6.4,8,26.59,19.77
1.3,6.3,8,26.57,19.8
1.4,6.3,8,26.67,19.69
1.3,6.3,8,26.95,19.41
1.2,6.2,8,27.08,19.25
1.1,6.2,8,27.16,19.15
1,6.3,8,27.2,19.1
1,6.2,8,27.2,19.09
1,6.3,8,27.22,19.08
1.5,6.2,8,27.23,19.15
1.5,6.2,8,27.31,19.03
1.4,6.2,8,27.43,18.84
1.4,6.3,8,27.53,18.68
1.4,6.3,8,27.59,18.58
1.4,6.4,8,27.65,18.48
1.4,6.3,8,27.69,18.41
1.4,6.3,8,27.76,18.34
1.5,6.2,8,27.78,18.32
1.6,6.2,8,27.83,18.27
1.6,6.1,8,27.89,18.21
1.5,6.1,8,27.93,18.17
1.3,6.1,9,27.97,18.1
1.2,6.1,9,28.03,18.02
1.2,6.1,9,28.07,17.94
1.1,6.1,9,28.11,17.88
1,6.1,9,28.2,17.73
0.9,6.2,9,28.17,17.78
5.4,6.7,26,20.13,22.14
5.3,6.6,27,20.99,22.1
5.3,6.7,46,21.63,21.76
5.4,6.9,57,21.9,21.81
5.5,6.8,69,22.05,21.84
5.4,6.8,83,22.11,21.8
2.7,7.5,8,24.74,21.48
2.6,7.5,8,24.87,21.5
2.6,7.5,8,24.97,21.48
2.5,7.5,8,25.04,21.47
2.5,7.5,8,25.08,21.46
2.5,7.4,8,25.09,21.45
2.4,7.4,8,25.1,21.44
2.4,7.4,10,25.28,21.39
2.3,7.4,16,25.36,21.38
2.4,7.4,26,25.37,21.39
2.4,7.4,40,25.37,21.39
2.4,7.4,50,25.37,21.39
1.4,7.3,5,25.95,20.8
1.4,7.3,5,25.98,20.81
1.3,7.3,5,26.02,20.79
1.3,7.2,5,26.06,20.77
1.2,7.2,5,26.2,20.67
1.1,7.2,7,26.32,20.61
1.1,7.2,9,26.37,20.58
1.2,7.2,12,26.38,20.58
1.1,7.2,15,26.4,20.57
1.1,7.2,19,26.41,20.57
1.1,7.2,22,26.4,20.57
1.1,7.2,24,26.4,20.57
1.9,7.7,5,27.5,19.97
1.9,7.7,5,27.5,19.95
1.9,7.7,6,27.5,19.95
1.8,7.7,6,27.5,19.95
1.8,7.7,6,27.51,19.94
1.9,7.7,6,27.51,19.93
1.9,7.7,6,27.51,19.93
1.9,7.7,6,27.51,19.93
1.8,7.7,7,27.51,19.93
1.9,7.8,7,27.51,19.93
1.9,7.7,7,27.51,19.92
1.9,7.7,8,27.51,19.92
1.9,7.7,7,27.51,19.92
0.9,7,4,26.96,17.62
0.8,7,4,27.02,17.66
0.8,7,4,27.03,17.67
0.8,7,4,27.1,17.71
0.8,7,4,27.05,17.69
0.8,7,5,27.08,17.71
0.8,7,4,27.1,17.72
0.8,7,5,27.1,17.72
0.8,7,4,27.11,17.73
0.7,6.9,5,27.12,17.74
0.7,7,5,27.17,17.77
1,6.9,5,27.01,17.22
0.9,6.8,5,27.38,17.11
0.9,6.7,4,27.92,16.84
0.8,6.7,4,28.26,16.67
0.8,6.7,4,28.48,16.54
0.8,6.6,5,28.74,16.38
0.8,6.6,5,29.11,16.13
0.8,6.6,4,29.33,15.98
0.8,6.6,5,29.56,15.82
0.8,6.6,5,29.62,15.78
0.8,6.7,5,29.66,15.76
0.8,6.7,5,29.7,15.73
0.8,6.7,5,29.72,15.71
0.9,6.7,6,29.76,15.69
0.9,6.7,6,29.8,15.66
0.9,6.7,6,29.83,15.64
0.9,6.7,7,29.84,15.63
0.9,6.7,7,29.84,15.63
0.9,6.7,6,29.84,15.64
2.3,7.7,3,28.51,15.52
2.3,7.6,4,28.57,15.47
2.3,7.6,5,28.65,15.4
2.5,7.6,9,28.77,15.32
2.4,7.6,11,28.78,15.31
2.1,7.6,12,28.8,15.3
2.3,7.6,12,28.8,15.3
2.6,7.6,14,28.81,15.29
2.7,7.6,14,28.83,15.27
2.9,7.6,17,28.9,15.22
3.1,7.6,22,28.92,15.21
3.1,7.6,27,28.92,15.21
3.4,7.6,28,28.92,15.21
3.7,7.6,31,28.93,15.2
3.7,7.6,38,28.93,15.2
3.5,7.6,41,28.93,15.2
3.5,7.7,40,28.93,15.2
3.4,7.7,18,27.86,16.46
3.3,7.7,18,27.86,16.46
2.9,7.7,17,27.86,16.46
3.1,7.7,17,27.86,16.46
3.2,7.7,16,27.86,16.46
3.1,7.7,17,27.86,16.45
3.4,7.7,19,27.86,16.45
3.6,7.7,20,27.86,16.45
3.6,7.7,21,27.86,16.45
3.6,7.7,22,27.86,16.45
6.6,8.2,32,27.29,17.56
6.3,8.2,32,27.29,17.56
6.3,8.2,33,27.29,17.56
6.4,8.2,32,27.29,17.55
6.5,8.2,33,27.3,17.54
6.4,8.1,34,27.3,17.54
6,8.1,36,27.3,17.53
5.7,8.1,37,27.3,17.53
5.7,8.1,36,27.3,17.53
6,8.1,37,27.3,17.52
5.9,8.1,38,27.3,17.52
5.8,8.1,41,27.3,17.52
6.1,8.1,41,27.3,17.53
2.6,7.3,33,26.96,18.03
2.9,7.3,42,26.95,18
2.7,7.3,47,26.95,18
2.8,7.3,54,26.95,17.99
3,7.3,62,26.96,17.97
3.2,7.3,71,26.97,17.95
3.4,7.3,90,26.97,17.93
3.5,7.3,88,26.97,17.93
3.6,7.3,96,26.98,17.9
3.6,7.3,105,26.99,17.88
3.6,7.3,107,26.99,17.88
3.7,7.3,111,26.99,17.87
3.7,7.3,114,26.99,17.87
3.6,7.3,116,26.99,17.86
3.8,7.3,41,26.51,18.14
3.8,7.3,47,26.54,18.12
3.9,7.3,63,26.6,18.11
3.9,7.3,69,26.6,18.11
4.1,7.3,68,26.6,18.11
4.2,7.3,68,26.6,18.11
4.2,7.3,69,26.61,18.11
4,7.3,70,26.61,18.11
4,7.3,68,26.6,18.11
4.1,7.3,71,26.6,18.11
4.2,7.3,70,26.6,18.11
4.2,7.3,70,26.6,18.12
4.3,7.3,73,26.6,18.12
4.3,7.3,72,26.6,18.12
6,7.3,95,25.2,17.84
6.2,7.3,94,25.35,17.82
6.4,7.3,102,25.47,17.84
6.5,7.3,114,25.44,17.83
6.6,7.3,117,25.46,17.84
6.6,7.2,124,25.53,17.87
1.1,7.4,11,25.51,12.74
1,7.4,11,25.59,12.74
1,7.4,11,25.64,12.73
1,7.4,12,25.67,12.72
1,7.4,12,25.7,12.71
1,7.4,12,25.72,12.71
1,7.4,14,25.73,12.7
1,7.4,14,25.74,12.7
1,7.4,14,25.75,12.7
1,7.4,15,25.76,12.7
1,7.4,15,25.77,12.7
0.9,7.4,16,25.79,12.7
0.9,7.4,16,25.79,12.7
1,7.5,10,26.09,12.5
1,7.5,10,26.09,12.51
1,7.5,10,26.09,12.51
1,7.5,10,26.1,12.51
1,7.6,10,26.11,12.51
1,7.6,10,26.11,12.51
1,7.6,10,26.11,12.51
1,7.6,10,26.11,12.51
1,7.6,10,26.12,12.51
1,7.6,11,26.13,12.51
1,7.6,11,26.13,12.51
1,7.6,12,26.13,12.51
1,7.5,11,26.21,12.32
1,7.6,11,26.21,12.32
1,7.5,11,26.2,12.32
1,7.6,12,26.2,12.34
0.9,7.6,12,26.22,12.36
0.9,7.6,12,26.23,12.36
0.9,7.6,13,26.26,12.34
0.9,7.6,14,26.27,12.34
1,7.6,14,26.27,12.34
1,7.6,18,26.29,12.33
1,7.6,20,26.29,12.33
1,7.6,20,26.29,12.33
1.1,7.5,21,26.04,12.36
1,7.5,22,26.04,12.36
1,7.5,23,26.04,12.36
1,7.5,23,26.04,12.36
1.1,7.5,24,26.04,12.37
1.1,7.5,25,26.04,12.37
1.1,7.5,26,26.04,12.37
1.1,7.5,26,26.04,12.37
1.1,7.5,27,26.04,12.37
1.2,7.5,27,26.04,12.37
1.1,7.5,18,26.46,12.18
1,7.5,19,26.46,12.19
1,7.5,21,26.47,12.18
1,7.5,21,26.47,12.18
1,7.5,22,26.48,12.18
1,7.5,22,26.5,12.19
1.1,7.5,24,26.51,12.19
1.1,7.5,25,26.52,12.19
1.1,7.5,26,26.54,12.2
1.2,7.5,28,26.58,12.2
1.2,7.5,30,26.59,12.2
1.2,7.5,30,26.6,12.2
1.2,7.5,30,26.6,12.21
1.2,7.5,32,26.63,12.21
1.3,7.5,35,26.64,12.21
1.3,7.5,36,26.65,12.21
1.3,7.5,39,26.65,12.21
1.3,7.5,39,26.65,12.21
0.7,8.3,8,22.53,11.16
0.7,8.3,8,22.68,11.17
0.7,8.3,8,22.96,11.2
0.7,8.3,8,23.2,11.22
0.7,8.3,8,23.49,11.24
0.7,8.3,8,23.75,11.25
0.6,8.3,7,24.52,11.3
0.6,8.2,7,24.97,11.32
0.5,8.2,7,25.98,11.35
0.5,8.1,7,26.62,11.37
0.5,8.1,7,27.09,11.38
0.5,8.1,7,27.58,11.4
0.5,8,7,28.18,11.44
0.5,8,7,28.55,11.46
0.6,8,7,28.8,11.47
0.6,8,8,28.93,11.48
0.7,8,8,28.96,11.48
0.7,8,8,28.97,11.48
0.6,8,9,29,11.48
0.6,8,9,28.99,11.48
0.7,8.2,7,22.8,11.34
0.7,8.2,8,23.27,11.27
0.7,8.2,9,23.35,11.26
0.8,8.1,10,23.54,11.26
0.8,8.1,10,23.65,11.27
0.8,8.1,11,23.7,11.27
0.9,8.1,11,23.75,11.27
0.9,8.1,12,23.77,11.27
1,8.1,13,23.77,11.27
1,8.1,14,23.78,11.27
1,8.1,15,23.78,11.27
0.8,8.5,7,23.35,11.47
0.8,8.5,7,23.35,11.43
0.8,8.5,7,23.38,11.38
0.8,8.5,7,23.43,11.42
0.7,8.5,7,23.53,11.36
0.6,8.5,7,23.73,11.32
0.6,8.5,7,23.79,11.32
0.5,8.5,7,23.8,11.32
0.5,8.5,7,23.82,11.32
0.5,8.5,7,23.83,11.32
0.5,8.5,7,23.84,11.32
0.5,8.5,7,23.85,11.32
0.5,8.5,7,23.9,11.33
0.5,8.5,7,23.94,11.34
1.5,8.6,7,22.37,11.75
1.6,8.6,7,22.41,11.68
1.4,8.5,7,22.6,11.59
1.1,8.5,7,23.23,11.45
0.8,8.5,7,23.78,11.46
0.8,8.5,7,23.8,11.45
0.7,8.6,7,23.82,11.45
0.7,8.6,7,23.82,11.45
0.7,8.5,7,23.85,11.44
0.7,8.6,7,23.9,11.43
0.7,8.6,8,23.92,11.43
0.7,8.6,8,23.92,11.43
0.7,8.6,8,23.94,11.43
0.8,8.6,8,23.95,11.43
0.8,8.6,9,23.95,11.43
0.8,8.6,9,23.95,11.43
0.7,8.2,8,22.82,11.62
0.7,8.2,8,23.49,11.44
0.7,8.2,8,23.63,11.43
0.7,8.2,8,23.72,11.41
0.7,8.2,9,23.82,11.4
0.8,8.2,10,23.87,11.39
0.8,8.2,11,23.89,11.39
0.9,8.2,11,23.9,11.38
0.9,8.3,11,23.92,11.38
0.9,8.3,12,23.92,11.38
1.3,8.5,10,19.89,12.17
1.3,8.4,11,20.31,12.02
1.3,8.4,12,20.63,11.9
1.4,8.4,15,20.95,11.82
1.3,8.4,15,21.17,11.78
1.3,8.5,15,21.28,11.77
1.3,8.5,15,21.37,11.76
1.3,8.5,15,21.41,11.77
0.8,7.7,31,17.4,13.97
0.8,7.6,32,17.98,13.89
0.8,7.4,33,18.31,13.82
0.8,7.5,34,18.95,13.66
0.8,7.5,35,19.15,13.61
0.8,7.3,36,19.41,13.53
0.8,7.3,39,19.88,13.35
0.8,7.4,45,20.14,13.25
0.8,7.4,60,20.33,13.16
0.8,7.4,84,20.49,13.09
0.8,7.5,108,20.67,13
0.8,7.6,112,20.72,12.98
0.8,7.7,19,20.18,13.23
0.8,7.9,22,20.81,12.97
0.8,7.9,25,20.97,12.9
0.8,8,29,21.19,12.81
0.8,8.1,32,21.27,12.78
0.8,8,34,21.31,12.77
0.8,7.9,34,21.5,12.7
0.8,7.9,34,21.71,12.57
0.8,8,40,21.91,12.48
0.8,8.1,59,22,12.45
0.8,8.2,72,22,12.46
0.9,7.7,11,22.11,12.59
0.9,7.9,11,22.31,12.39
0.9,8,11,22.36,12.33
0.9,8.1,12,22.4,12.29
0.9,8.2,13,22.41,12.28
0.9,8.2,14,22.43,12.28
0.9,8.2,16,22.45,12.27
0.9,8.3,16,22.47,12.26
0.9,8.3,17,22.48,12.26
0.9,8.3,19,22.48,12.26
0.9,8.3,19,22.49,12.25
0.9,8.4,22,22.51,12.24
0.8,9.2,13,19.18,12.05
0.9,9.1,13,19.74,12.09
0.9,9.1,13,20.06,12.11
0.9,9,14,20.45,12.13
0.9,8.8,15,20.72,12.15
0.9,8.7,16,21.07,12.13
0.9,8.8,17,21.35,12.13
0.9,8.7,18,21.77,12.17
0.9,8.7,19,21.99,12.19
0.9,8.6,20,22.07,12.2
0.9,8.2,19,17.59,11.85
0.9,8.2,18,18.14,11.86
0.9,8.1,18,19.01,11.91
0.9,7.7,18,20.7,11.97
0.9,7.6,17,21.1,11.98
0.9,7.6,17,21.24,11.99
0.9,7.5,18,21.45,11.99
0.9,7.4,19,21.52,12
0.9,7.5,20,21.6,12
0.9,7.5,20,21.7,12
0.9,7.4,20,21.91,11.99
0.9,7.4,20,22.33,11.98
0.9,7.2,19,23.22,11.97
0.9,7.2,18,24.44,11.94
0.9,7.2,20,24.74,11.94
0.9,7.2,24,24.81,11.94
0.9,7.2,28,24.85,11.94
0.9,7.2,34,24.88,11.94
2.9,8,2,14.6,14.65
2.5,8,2,18.3,14.52
2.1,8,2,18.67,14.48
1.8,8,2,18.78,14.45
1.7,8,2,18.8,14.44
1.6,8,2,18.81,14.43
1.5,8,2,18.82,14.42
1.4,8,2,18.83,14.4
1.4,8,2,18.85,14.39
2.7,8.3,2,18.5,14.61
2.5,8.3,2,18.62,14.57
2.3,8.3,2,18.8,14.55
2,8.3,2,18.93,14.49
1.8,8.3,2,19.08,14.42
1.7,8.2,2,19.25,14.33
1.7,8.2,2,19.28,14.31
1.6,8.2,2,19.3,14.31
1.6,8.2,2,19.31,14.3
1.7,8.2,2,19.33,14.28
1.7,8.2,2,19.34,14.28
1.7,8.2,2,19.35,14.27
1.7,8.2,3,19.36,14.26
1.7,8.2,4,19.36,14.26
3.1,8.6,1,16.22,14.06
3.1,8.7,1,16.87,14.24
3.1,8.7,1,17.61,14.32
2.7,8.6,1,18.15,14.33
2.3,8.6,1,18.42,14.26
1.9,8.5,1,18.67,14.22
1.6,8.4,1,19.18,14.09
1.4,8.4,1,19.43,14.03
1.3,8.4,2,19.47,14.02
1.2,8.4,2,19.49,14.02
1.2,8.4,2,19.48,14.02
1.2,8.4,2,19.5,14.01
1.3,8.4,2,19.51,14.01
1.3,8.4,2,19.51,14.01
1.7,8.5,1,16.35,13.91
1.6,8.6,1,17.28,13.89
1.4,8.5,1,17.99,13.96
1.2,8.5,1,18.58,13.91
1,8.4,1,19.46,13.73
0.8,8.4,1,19.73,13.65
0.8,8.4,1,19.81,13.63
0.7,8.4,2,19.85,13.6
0.7,8.4,2,19.92,13.58
0.7,8.4,2,19.93,13.57
0.8,8.4,2,19.94,13.56
0.9,8.4,2,19.96,13.56
1,8.4,2,19.97,13.55
2.2,8.9,2,15.41,13.03
2.2,8.9,1,15.83,13.31
1.8,8.8,1,16.93,13.4
1.5,8.7,1,18.06,13.46
1.2,8.6,1,18.52,13.47
1.1,8.6,2,18.66,13.46
1.1,8.6,2,18.71,13.46
1.1,8.6,2,18.76,13.45
1,8.5,2,18.8,13.44
1,8.5,2,18.82,13.43
1.5,8.5,1,16.05,13.37
1.5,8.5,1,16.6,13.18
1.5,8.5,1,16.93,13.17
1.5,8.5,1,17.15,13.21
1.3,8.5,1,17.54,13.25
1.3,8.5,2,18.17,13.26
1.2,8.5,2,18.44,13.25
1.2,8.5,2,18.59,13.24
1.1,8.5,2,18.76,13.24
1,8.4,2,18.94,13.22
0.9,8.4,2,19.53,13.11
0.8,8.4,2,20.21,12.99
0.7,8.3,2,20.85,12.9
0.6,8.3,2,21.43,12.8
0.5,8.3,2,22.04,12.66
0.4,8.3,2,24.11,12.44
0.3,8.3,2,25.71,12.39
0.4,8.3,2,26.33,12.38
1.7,8.3,12,19.27,14.04
1.7,8.2,14,19.4,13.94
1.7,8.3,15,19.46,13.81
1.7,8.4,16,19.47,13.76
1.7,8.4,18,19.47,13.71
1.7,8.5,18,19.49,13.69
1.7,8.5,19,19.52,13.72
1.7,8.5,19,19.56,13.76
1.7,8.5,18,19.57,13.77
1.7,8.6,19,19.59,13.78
1.7,8.6,19,19.6,13.79
1.7,8.4,19,19.64,13.83
1.7,8.4,19,20.05,13.76
1.7,8.4,26,20.79,13.68
1.7,8.4,41,20.94,13.68
1.7,8.4,69,20.98,13.69
1.7,8.3,19,19.42,13.76
1.7,8.3,20,19.43,13.77
1.7,8.3,21,19.43,13.77
1.7,8.3,24,19.43,13.77
1.7,8.3,25,19.43,13.77
1.7,8.4,26,19.43,13.77
1.7,8.4,27,19.44,13.78
