chl,dox,spm,sal,temp
13.7,9.9,12,22.29,14.95
13.2,9.7,12,22.37,14.91
12.2,9.7,12,22.41,14.89
11.3,9.6,12,22.43,14.88
11.1,9.6,12,22.47,14.86
11.1,9.6,13,22.48,14.86
8.5,9.6,10,21.92,15.07
9,9.5,10,22.26,15.08
8.8,9.4,10,22.55,15.03
8.7,9.4,10,22.65,14.99
8.6,9.4,13,23.01,14.9
8,9.4,18,23.07,14.89
7.6,9.4,24,23.06,14.9
7.9,9.4,26,23.05,14.9
8.1,9.4,26,23.06,14.9
8.1,9.4,28,23.08,14.9
8.3,9.4,28,23.1,14.89
8.5,9.4,30,23.1,14.89
9.1,9.4,31,23.12,14.89
9.3,9.4,32,23.12,14.89
9,9.4,34,23.12,14.89
9.4,9.4,35,23.11,14.9
10.1,9.3,37,23.1,14.9
10,9.4,40,23.1,14.9
14.8,10.3,16,21.93,15.49
14.7,10.2,16,22.06,15.26
14.7,10.1,17,22.09,15.21
14.7,10,18,22.1,15.19
14.3,10,19,22.11,15.19
14.9,10,21,22.11,15.19
15.6,10,21,22.11,15.19
15.8,10,22,22.11,15.19
15.4,10,22,22.11,15.19
15.7,10,22,22.11,15.19
15.4,10,22,22.11,15.19
15,9.9,23,22.11,15.19
28,12.9,9,21.17,16.13
27.5,12.5,10,21.38,15.81
27.1,12.1,10,21.51,15.57
27.8,12.1,13,21.54,15.49
28.4,12,15,21.54,15.48
28.6,12,17,21.55,15.47
28.4,12,18,21.57,15.44
28.7,12,19,21.57,15.44
30.9,12,21,21.56,15.43
33.5,12,24,21.56,15.43
33.9,11.9,28,21.56,15.43
34.2,11.9,32,21.56,15.43
36.6,11.9,35,21.56,15.43
36.8,11.9,40,21.56,15.43
39.2,12.4,14,20.36,15.72
38.8,11.9,15,20.56,15.62
37.6,11.8,17,20.6,15.61
36.4,11.8,18,20.62,15.61
36.9,11.8,19,20.63,15.61
39.1,11.7,22,20.63,15.62
40.6,11.7,26,20.63,15.62
41.2,11.6,26,20.63,15.62
41.4,11.6,26,20.63,15.62
41.4,11.6,27,20.64,15.62
42,11.6,29,20.64,15.61
42.1,11.5,29,20.64,15.61
42.2,11.5,30,20.64,15.61
41.2,11.5,32,20.63,15.61
40.7,11.5,37,20.63,15.61
55.2,14.6,15,18.69,17.51
57.6,13.8,15,19.2,16.36
54.3,12.7,16,19.61,15.95
48.9,12.3,18,19.78,15.89
48.1,12.2,21,19.8,15.88
48.5,12.1,25,19.82,15.88
48.7,12,32,19.83,15.88
48.2,12,37,19.85,15.88
47.2,11.9,40,19.93,15.87
45.6,11.9,41,19.96,15.86
45.3,11.8,42,20.01,15.85
46.4,11.7,50,20.02,15.85
46.9,11.7,58,20.02,15.85
50.1,11.7,63,20.02,15.85
51.2,11.7,77,20.02,15.86
70.6,11.4,48,16.85,16.46
69.7,11.2,47,17.23,16.29
70.4,11.1,46,17.44,16.18
71,11,47,17.51,16.15
71.9,11,51,17.57,16.15
72.4,11,55,17.63,16.15
72.6,11,57,17.64,16.15
72.6,11,59,17.71,16.14
72.3,11,62,17.88,16.13
7.7,9.8,13,18.78,13.99
7.9,9.7,15,19.18,14.1
8.5,9.7,14,19.46,14.12
8.9,9.7,14,19.68,14.12
9.3,9.7,17,19.8,14.11
9.1,9.7,19,19.87,14.1
8.7,9.7,22,19.92,14.1
8.9,9.7,24,19.95,14.09
9.5,9.7,26,19.99,14.09
9.9,9.7,28,20.01,14.09
9.8,9.7,31,20.01,14.09
9.6,9.7,33,20.01,14.09
9.7,9.7,34,20.04,14.08
9.8,9.7,36,20.05,14.08
10.1,9.7,37,20.05,14.08
10.3,9.7,37,20.09,14.07
10.2,9.7,38,20.09,14.07
10.1,9.7,41,20.09,14.07
13.3,10,26,18.54,14.75
13.5,10,27,18.59,14.68
13.6,10,30,18.59,14.67
14.7,9.9,32,18.64,14.63
16.4,9.9,36,18.68,14.58
17.4,9.9,38,18.68,14.58
18,9.9,47,18.7,14.57
18.6,9.9,56,18.7,14.57
18.7,10,68,18.7,14.57
18.7,10,74,18.7,14.57
18.7,10,73,18.7,14.57
14.8,9.9,28,18.48,15.66
15.7,9.9,24,18.47,15.59
17.1,9.9,27,18.46,15.47
19.6,9.9,30,18.45,15.45
22.6,9.9,50,18.44,15.41
23.2,9.9,56,18.44,15.41
23.5,9.9,61,18.44,15.41
24.6,9.9,65,18.44,15.4
27,9.9,70,18.44,15.41
29.4,9.9,97,18.43,15.38
31.2,9.9,112,18.43,15.39
33.8,9.9,124,18.42,15.38
36,9.9,160,18.42,15.38
35.8,9.9,193,18.42,15.38
11.9,9.7,16,18.51,16.1
12.4,9.7,16,18.48,15.95
12.7,9.7,18,18.48,15.93
13,9.7,18,18.47,15.9
13.3,9.7,21,18.46,15.88
13.5,9.7,22,18.46,15.88
13.9,9.7,23,18.46,15.86
14.8,9.7,26,18.45,15.85
15.7,9.7,26,18.45,15.83
16.3,9.7,27,18.45,15.83
16.8,9.7,29,18.46,15.83
17.2,9.7,30,18.46,15.83
17.5,9.7,33,18.46,15.82
17.7,9.7,38,18.45,15.82
18.4,9.7,40,18.45,15.82
18.8,9.7,40,18.45,15.82
18.6,9.7,41,18.45,15.82
17.6,9.7,23,17.88,16.46
17.6,9.7,23,17.81,16.52
18.1,9.6,23,17.74,16.58
17.7,9.6,23,17.91,16.41
17.4,9.6,23,18.05,16.38
17.6,9.6,23,18.09,16.29
17.4,9.6,22,18.1,16.25
16.8,9.5,23,18.25,16.08
16.2,9.6,26,18.33,16.01
16.4,9.6,29,18.32,16
27.1,9.2,39,15.72,17.21
27,9.1,38,15.6,17.3
25.5,8.9,39,16.4,16.44
24.1,8.9,48,16.64,16.14
23.7,8.9,56,16.8,16.12
23.5,8.9,57,16.91,16.14
23.5,9,59,16.94,16.07
24.2,9,62,16.98,16.09
24.3,9,73,17.03,16.12
9.1,6.8,75,16.3,15.96
9.2,6.8,84,16.36,15.95
9.1,6.8,70,16.45,15.94
9.2,6.8,86,16.54,15.96
9.4,6.8,110,16.57,15.97
9.5,6.8,120,16.58,15.98
9.5,6.8,128,16.58,15.98
9.5,6.8,132,16.58,15.98
9.5,6.8,144,16.57,15.98
9.4,7.5,32,17.96,16.27
9.3,7.6,30,17.96,16.27
9.2,7.6,29,17.96,16.27
9.3,7.6,28,17.96,16.27
9.5,7.7,27,17.97,16.28
9.4,7.7,27,17.98,16.31
9.2,7.7,26,18,16.32
9.2,7.7,25,18,16.33
9.3,7.7,27,17.99,16.32
9.3,7.7,28,17.99,16.32
9.3,7.7,27,17.99,16.32
9.1,7.7,28,18,16.33
9.5,7.7,33,18.02,16.35
9.7,7.7,30,18.01,16.35
11,8.7,6,18.07,16.07
10.6,8.7,7,18.07,16.06
10.1,8.7,7,18.07,16.07
10.2,8.7,8,18.07,16.07
10.3,8.7,8,18.07,16.08
10.3,8.7,8,18.07,16.08
10.5,8.7,7,18.07,16.08
10.6,8.7,8,18.07,16.07
10.4,8.7,8,18.07,16.07
10.7,8.7,8,18.07,16.08
11.2,8.7,8,18.07,16.08
10.8,8.7,9,18.07,16.08
10.7,8.7,9,18.07,16.08
10.4,8.7,9,18.08,16.08
10.2,8.7,11,18.07,16.08
8.2,8.8,2,18.31,16.05
8.1,8.9,2,18.31,16.06
8.4,8.9,2,18.31,16.06
8.3,8.7,2,18.31,16.05
8.1,8.5,2,18.37,15.99
8.3,8.7,2,18.85,15.61
8.3,8.8,2,19.07,15.43
8.4,8.7,2,19.23,15.28
8.4,8.6,2,19.69,15.05
7.8,8.3,2,20.27,14.81
7.1,8,2,21.06,14.52
6.3,7.9,2,21.72,14.25
6.3,8.1,4,21.93,14.2
6.5,9.8,1,20.06,14.76
6.5,9.8,1,20.05,14.76
6.5,9.7,1,20.05,14.77
6.8,9.5,1,20.1,14.7
7,9,1,20.49,14.5
6.2,8.4,1,22.28,14
5,8.1,1,23.55,13.65
4.3,8,1,24.22,13.43
4.2,8,1,24.5,13.33
4.2,8,2,24.57,13.3
4.1,8,2,24.61,13.28
4.1,8.1,2,24.63,13.28
5.2,9.5,3,20.22,14.9
5.4,9.3,3,20.22,14.9
5.8,8.9,1,20.52,14.74
6.1,8.6,2,21.7,14.34
6,8.4,1,21.9,14.11
5.5,7.9,1,22.48,13.9
4.7,7.5,1,24.16,13.39
3.9,7.5,1,25.62,12.87
3.7,7.5,2,25.9,12.8
3.7,7.4,2,25.9,12.81
3.8,7.3,2,26.16,12.73
3.7,7.1,2,26.7,12.56
3.6,7.1,3,27.47,12.31
3.5,7.1,4,27.76,12.22
3.4,7,6,27.88,12.18
3.4,7,8,28.03,12.14
3.5,7,11,28.09,12.12
3.6,7,11,28.11,12.12
23.5,8.1,102,15.1,16.69
23.7,8.1,90,15.24,16.78
23.6,8,85,15.31,16.83
22.8,8,84,15.37,16.83
22.2,8,107,15.44,16.81
21.8,8,118,15.44,16.8
21.9,8,145,15.46,16.77
7.7,8.3,36,17.98,17.14
7.7,8.3,35,17.98,17.15
7.7,8.2,34,17.98,17.14
7.8,8.2,35,17.98,17.11
7.9,8.2,35,18,17.07
7.9,8.2,38,18.07,16.98
8.1,8.2,55,18.08,16.96
8.3,8.2,84,18.1,16.92
8.4,8.2,117,18.11,16.9
8.5,8.2,148,18.11,16.9
9.1,8.2,152,18.15,16.84
10,8.2,201,18.15,16.81
10.1,8.2,459,18.11,16.79
6.1,8.1,23,19.53,16.27
6.2,8.2,22,19.53,16.27
6.2,8.4,22,19.53,16.27
6.4,8.6,22,19.53,16.29
6.4,8.6,21,19.53,16.28
6.4,8.6,22,19.53,16.25
6.7,8.6,26,19.53,16.23
6.8,8.6,34,19.52,16.22
6.7,8.6,43,19.52,16.22
6.7,8.6,35,19.52,16.22
7,8.6,119,19.51,16.2
7.1,8.6,136,19.51,16.2
7.4,8.6,136,19.51,16.2
7.5,8.6,193,19.49,16.21
10.4,10.2,6,21.19,15.95
10.8,10.3,7,21.19,15.95
11.2,10.3,7,21.19,15.95
11.2,10.2,7,21.19,15.95
10.5,10,7,21.2,15.93
9.2,10,7,21.67,15.59
8.6,10,7,21.71,15.55
8.3,10,7,21.73,15.52
8,10,7,21.75,15.51
7.8,10,7,21.77,15.5
7.8,10,7,21.81,15.49
8.5,10,7,21.92,15.47
8.5,10.1,7,21.94,15.46
5.6,9.5,2,23.93,14.58
5.7,9.5,6,23.93,14.59
5.6,9.5,5,23.92,14.59
5.5,9.5,5,23.93,14.58
5.6,9.5,5,23.94,14.58
5.6,9.5,5,23.94,14.57
5.6,9.5,6,23.99,14.55
5.7,9.4,5,24.07,14.52
5.7,9.4,6,24.16,14.48
5.6,9.4,7,24.22,14.46
4.6,9.4,8,24.23,14.46
4.4,9.4,28,24.23,14.46
2.8,7.1,31,17.18,18.38
2.8,7.1,34,17.28,18.15
2.7,7.1,41,17.4,18.07
2.8,7.1,46,17.46,18.03
3.2,7.1,78,17.51,18.03
3.3,7.1,122,17.54,18.03
3.3,7.5,26,18.17,18.57
3.2,7.4,26,18.17,18.55
3,7.4,26,18.2,18.49
2.9,7.4,29,18.24,18.44
3,7.5,32,18.31,18.44
3.3,7.5,37,18.38,18.44
3.6,7.5,44,18.43,18.43
3.9,7.5,48,18.53,18.39
4.2,7.5,61,18.59,18.39
4.5,7.5,74,18.6,18.39
4.8,7.5,85,18.61,18.39
4.8,7.3,102,18.61,18.4
4.1,7.5,18,18.9,18.62
3.7,7.5,17,19.19,18.02
3,7.6,28,19.22,17.73
2.8,7.5,31,19.21,17.74
2.7,7.5,32,19.31,17.61
2.6,7.6,36,19.41,17.5
2.6,7.6,39,19.44,17.48
2.6,7.6,42,19.5,17.43
2.6,7.6,45,19.48,17.44
2.7,7.6,48,19.58,17.37
2.9,7.6,61,19.69,17.27
3.1,7.6,82,19.7,17.26
3.2,7.6,90,19.7,17.26
3.8,7.7,98,19.71,17.26
4,7.7,106,19.7,17.27
2.6,8.1,6,20.27,17.61
2.7,7.9,6,20.3,17.54
2.3,7.9,7,20.57,17.09
1.8,7.9,7,20.81,17.01
1.6,7.8,9,21.27,16.87
1.6,7.9,12,21.9,16.65
1.6,7.9,13,22.2,16.58
1.5,7.9,15,22.36,16.52
1.7,7.9,18,22.52,16.45
1.9,7.9,24,22.57,16.42
2,8,27,22.6,16.39
2,8,30,22.62,16.38
2.1,8.4,3,23.2,16.15
2.3,8.3,3,23.25,16.06
2.7,8.4,4,23.28,15.98
2.8,8.3,4,23.27,16.01
3,8.4,4,23.31,15.94
3.1,8.4,4,23.29,15.97
3.1,8.3,4,23.28,15.99
2.7,8.2,4,23.33,15.91
2,8.2,4,23.48,15.69
2.1,8.3,4,23.54,15.6
1.8,7.3,27,19.93,17.02
1.8,7.3,26,19.93,17.02
1.8,7.3,26,19.94,17.03
1.8,7.3,27,19.97,17.05
1.8,7.3,28,20,17.08
1.8,7.3,30,20.01,17.09
1.9,7.3,30,20.02,17.1
1.9,7.3,30,20.18,17.22
1.9,7.5,33,19.99,16.78
1.9,7.5,33,19.99,16.78
1.8,7.5,32,19.97,16.77
1.7,7.6,32,20.06,16.88
1.6,7.6,32,20.29,17.07
1.6,7.6,32,20.33,17.1
1.6,7.6,29,20.39,17.12
1.6,7.5,29,20.4,17.12
1.7,7.5,31,20.39,17.12
1.8,7.5,37,20.38,17.12
1.8,7.5,44,20.37,17.12
1.8,7.5,55,20.37,17.12
1.6,7.6,11,20.94,16.91
1.6,7.6,12,20.97,16.91
1.5,7.6,12,21,16.91
1.4,7.6,11,21.13,16.95
1.3,7.6,10,21.26,16.95
1.3,7.6,11,21.32,16.94
1.3,7.6,12,21.42,16.93
1.3,7.6,14,21.52,16.92
1.3,7.6,17,21.6,16.93
1.4,7.6,23,21.65,16.94
1.4,7.6,26,21.64,16.94
1.4,7.6,26,21.64,16.94
1.5,7.6,31,21.66,16.95
1.6,7.6,42,21.69,16.95
1.6,7.6,46,21.73,16.95
1.9,7.4,5,22.04,17.09
1.8,7.4,5,22.16,16.91
1.5,7.4,5,22.25,16.85
1.4,7.4,6,22.39,16.83
1.3,7.4,6,22.73,16.75
1.2,7.4,9,23.08,16.65
1.2,7.4,12,23.36,16.56
1.3,7.4,14,23.46,16.51
1.3,7.4,18,23.55,16.47
1.4,7.4,20,23.65,16.42
1.4,7.4,22,23.69,16.39
1.4,7.4,23,23.7,16.39
1.6,7.8,4,24.18,16.08
1.7,7.8,4,24.22,15.87
1.7,7.8,5,24.24,15.78
1.7,7.8,6,24.26,15.74
1.6,7.8,7,24.33,15.68
1.5,7.8,7,24.38,15.64
1.4,7.8,8,24.39,15.63
1.4,7.8,8,24.43,15.59
1.4,7.8,9,24.44,15.59
1.4,7.8,9,24.44,15.58
1.6,7.8,4,24.19,15.69
1.8,7.8,4,24.21,15.65
1.8,7.8,4,24.21,15.65
1.8,7.8,5,24.23,15.63
1.8,7.8,5,24.25,15.59
1.7,7.7,6,24.3,15.55
1.7,7.7,6,24.35,15.5
1.7,7.7,8,24.42,15.46
1.7,7.6,9,24.59,15.3
1.8,7.6,9,25.01,14.94
1.9,7.5,10,25.2,14.74
2,7.5,11,25.47,14.54
2.2,7.5,12,25.67,14.42
2.5,7.5,13,25.82,14.33
2.7,7.5,14,25.87,14.31
2.7,7.5,14,25.93,14.28
3,7.3,15,26.61,13.8
3,7.4,20,27.4,13.32
2.6,8.1,12,26.32,15.37
3,8.1,14,26.55,15.22
3.3,8,14,26.84,15.02
3.5,8.1,14,27.13,14.81
3.5,8.1,14,27.28,14.72
3.8,8.1,14,27.48,14.6
4.1,8.1,15,27.69,14.48
4.1,8.1,16,28.08,14.29
4.3,8.1,18,28.21,14.22
4.8,8.2,21,28.28,14.19
5.4,8.2,24,28.29,14.17
5.7,8.2,27,28.3,14.16
6,8.2,32,28.29,14.16
6.1,8.2,32,28.29,14.16
6.3,8.2,33,28.29,14.16
6.5,8.2,38,28.3,14.15
6.8,8.2,40,28.3,14.15
6.7,8.2,44,28.3,14.15
2.6,7.9,10,26.42,15.61
2.9,7.9,10,26.45,15.48
3.2,7.9,11,26.45,15.45
3.3,7.9,12,26.47,15.42
3.2,8,12,26.46,15.42
3.2,8,14,26.47,15.41
3.2,8,14,26.47,15.41
3.2,8,15,26.47,15.41
3.4,8,15,26.48,15.41
3.6,8,16,26.48,15.41
3.6,8,16,26.48,15.41
5.2,8.3,7,25.15,17.65
5.3,8.1,7,25.17,17.6
4.2,8.2,7,25.27,17.06
3.4,8.2,7,25.27,16.95
2.9,8.2,7,25.28,16.92
2.6,8.3,8,25.28,16.91
2.4,8.3,8,25.28,16.91
2.3,8.3,8,25.28,16.91
2.2,8.3,8,25.28,16.91
2.3,8.3,8,25.28,16.91
2.3,8.3,8,25.28,16.91
2.3,8.3,8,25.29,16.9
2.3,8.3,8,25.29,16.9
2.3,8.3,8,25.29,16.9
2.1,8.2,7,23.92,18.28
2.4,8.1,7,24.03,18.03
2.4,8.1,7,24.15,17.75
2.1,8.1,7,24.22,17.66
1.7,8.2,8,24.26,17.58
1.3,8.2,8,24.27,17.54
1.1,8.2,8,24.27,17.54
1,8.2,8,24.27,17.53
0.9,8.2,9,24.27,17.51
0.9,8.2,9,24.27,17.5
0.9,8.2,9,24.27,17.5
0.8,8.2,9,24.27,17.5
0.8,8.2,9,24.27,17.5
0.8,8.2,9,24.27,17.49
0.6,8.2,9,24.27,17.49
0.6,8.2,9,24.28,17.5
1.3,7.7,14,22.75,18.45
1.3,7.7,14,22.93,18.26
1.2,7.8,14,23.15,18.15
1.1,7.8,14,23.3,18.07
1.1,7.9,14,23.33,18.05
1,7.9,14,23.33,18.05
1,7.9,14,23.33,18.04
1,7.9,15,23.33,18.03
1,7.9,14,23.32,18.02
1,7.9,14,23.33,18
1,7.8,15,23.34,17.99
1,7.8,15,23.36,17.99
1,7.7,16,23.36,17.99
5.4,7.9,25,22.78,20.52
5,7.9,26,22.99,20.47
4.7,7.9,26,23.05,20.46
4.6,7.9,25,23.05,20.46
4.8,7.9,25,23.06,20.46
5,7.9,25,23.07,20.46
5.1,7.9,25,23.09,20.46
5,7.9,24,23.09,20.46
2.7,8.1,11,24.92,20.5
2.6,8.1,10,24.97,20.42
2.3,8.1,10,25.03,20.3
2.2,8.1,12,25.04,20.27
2.1,8.1,14,25.05,20.26
2,8.1,15,25.06,20.25
2,8.1,16,25.06,20.25
2,8.1,16,25.06,20.24
2.1,8.1,15,25.06,20.24
2.1,8.1,14,25.06,20.25
2.2,8.1,14,25.06,20.25
2.3,8.1,15,25.05,20.26
2.4,8.1,18,25.05,20.26
2.4,8.1,20,25.05,20.25
3.1,8,4,24.99,19.93
3.2,8.2,4,24.99,19.93
3.3,8.2,4,24.99,19.91
3.4,8.2,4,24.99,19.91
3.1,8.1,4,25,19.83
2.4,8.1,4,25,19.59
1.9,8.1,4,25,19.55
1.5,8,4,25,19.5
1.2,8,4,25.01,19.47
1.1,8,4,25.01,19.45
1.1,8,4,25.01,19.44
1,8,4,25.01,19.44
1,8,4,25.01,19.44
1,8,5,25.01,19.44
1.2,8.1,6,25.25,18.89
1.4,8.1,6,25.25,18.89
1.6,8.1,6,25.25,18.89
1.6,8.1,6,25.25,18.89
1.6,8.1,6,25.25,18.87
1.5,8.1,6,25.25,18.85
1.5,8.1,6,25.25,18.85
1.4,8,6,25.26,18.81
1.4,8.1,6,25.33,18.69
1.4,8.1,8,25.35,18.66
1.5,8.1,10,25.36,18.66
1.8,8.1,13,25.36,18.65
1.9,8.1,16,25.36,18.65
4.5,9.1,1,24.09,19.48
4.7,9.1,1,24.09,19.48
5.1,9.1,1,24.1,19.48
5.3,9.1,1,24.16,19.47
4.9,8.9,1,24.43,19.38
3.9,8.6,1,24.75,19.2
2.7,8.2,1,25.12,18.59
1.9,8.1,1,25.37,18.16
1.4,8,2,25.8,17.55
1.1,8.1,3,25.92,17.37
1.1,8.2,4,25.92,17.37
2,8,1,21.83,18.98
2.2,8.3,1,21.81,19.02
2.6,8.3,1,22.26,18.59
3,8.2,1,23.05,18.34
3,8,1,24.19,18.06
2.7,7.8,1,24.68,17.83
2.4,7.7,1,25.06,17.23
2.1,7.8,1,25.41,16.95
1.9,7.7,1,25.62,16.85
1.6,7.6,2,25.89,16.64
1.4,7.6,2,26.32,16.43
1.3,7.5,2,26.6,16.15
1.3,7.4,3,26.76,15.92
1.3,7.5,3,27.17,15.46
1.4,7.5,3,27.26,15.42
1.4,7.5,4,27.39,15.38
1.6,7.5,4,27.44,15.35
1.6,7.5,6,27.62,15.23
2.3,6.8,14,27.08,21.55
2.3,6.8,14,27.12,21.58
2.2,6.9,16,27.17,21.58
2.1,6.9,16,27.19,21.59
2.1,6.9,16,27.24,21.61
2.1,7,17,27.32,21.61
2.1,6.9,18,27.37,21.59
2,6.9,18,27.38,21.59
2,6.9,19,27.37,21.59
2.2,7.2,10,28.45,21.2
2,7.2,9,28.5,21.25
1.8,7.2,10,28.51,21.25
1.7,7.2,10,28.52,21.25
1.6,7.2,11,28.53,21.25
1.6,7.1,11,28.54,21.27
1.7,7.2,11,28.54,21.26
1.7,7.1,11,28.54,21.26
1.8,7.1,11,28.54,21.26
1.8,7.1,12,28.54,21.25
1.9,7,12,28.54,21.23
0.4,7,12,28.54,21.22
1.6,7.5,5,29.37,20.24
1.6,7.4,5,29.36,20.27
1.8,7.2,5,29.36,20.22
1.8,7.1,5,29.45,19.91
1.5,7,5,29.51,19.78
1.2,7,5,29.58,19.61
1.1,7,5,29.59,19.57
1,7,5,29.6,19.54
